id	name	Description
22	杂炊	使用一些边角料食材杂烩而成的烩锅，享受美味的同时还能避免浪费，可谓一举两得。
23	刺身拼盘	作为和风料理的代表，将刺身级的三文鱼和金枪鱼鱼生配上芥末和酱油，引出鲜味的绝妙料理。
24	大奢宴	奢侈地选用了一系列高级食材炖煮成烩锅，通过火候的精妙控制，将食材之间的特点全部提炼了出来，肉质鲜嫩多汁，香滑入味，令人其味无穷。
25	豚骨拉面	用猪肉和蔬菜经过长时间熬制出来的高汤，堪称整碗拉面的精髓和灵魂所在。香浓醇厚的豚骨汤底配上香弹可口的拉面，饱腹之余也让舌尖得到最大的满足。
26	岩浆	用高级牛肉和松露炖煮而成的烩锅，最初以麻辣为特色，因炖煮中冒出的气泡如岩浆而得名，款款而起的香味更是让人食指大动。改良后也增加了不辣的版本。
27	香炸蝉蜕	蝉科昆虫黑蚱羽化后的蜕壳，可以入药，有利咽开音、明目退翳之效，香炸后口感酥脆，颇受欢迎。
28	露水煮蛋	采集了清晨的露珠煮成的蛋，比一般的水煮蛋多出一种甘甜的味道，为了保持鲜嫩只煮到半熟，蛋黄水嫩得似乎稍加晃动就会流出来。
29	幻昙花糕	用上古时期便存在的奇迹之花制作的糕点，不仅甜而不腻，食后更是齿颊留香，据说能勾起人心中最想怀念的回忆。
30	赛熊掌	黑不溜秋的怪异美食之首！香飘万里，让人回味无穷。因为打不过熊，没法直接用熊掌做，但是比真正的熊掌还要鲜美百倍。
31	秘制小鱼干	用秘制的香料将小鱼干腌制后晒干，酥脆香口的同时又易于保存，寻常人家都喜欢在家中保存一份。
32	凉菜雕花	将鲜果蔬菜雕刻成鲜花的模样，虽则材料简单，但却非常考验刀工。
33	桃花羹	来自天上的配方，采摘新鲜的桃花，配以清晨的甘露水煮而成，不仅芳香清甜，而且具有祛病美容的神奇功效。
34	北极甜虾蜜桃色拉	选用品质最好、肉质最鲜的虾和桃子加工而成的高级料理，据说在外界只有在宴席上才有机会一见。
35	油豆腐	常见的家常菜，传说中是稻荷神的狐狸使者最喜欢的食物。
36	诗礼银杏	以选用孔庙“诗礼堂”前银杏树所结果实烹制而得名，清香甜美，柔韧筋道，可解酒止咳。
37	真·海鲜味噌汤	选用新鲜鳟鱼与海带煲煮而成的味噌汤，浓浓的鲜味四处漂荡，鲜而不腥。
38	烤蘑菇	采用蘑菇为原料，将蘑菇用竹签串起来后、刷少量油进行烧烤，撒上粗盐，味道简直不输给直接吃肉！
39	煮豆腐	常见的家常菜，但也讲究烧制的火候，才能将豆腐的鲜嫩口感得到最大展现。
40	炸猪肉排	常见的家常菜，以猪肉为主要材料，裹以面粉一炸，邻居家的孩子都馋哭了。
41	黄油牛排	简单而复杂，根据火候和食材的选择，呈现出不同感觉的基础西餐。顺带一提红魔馆的那位喜欢的是三分熟。
42	意式烩饭	将食材炒熟之后倒入生米，充分混合米粒和食材香味的外界某个半岛的做法。
43	惠灵顿牛排	将牛排和松露这两种鲜美的食材调味后包裹在酥皮中进行烘焙，让黄油酥皮的香味和牛排蘑菇的鲜美充分融合的极致菜肴。工序繁复，在外界是出了名的难做。
44	班尼迪克蛋	流黄的水波蛋和大口的碳水，是早午餐的常见选择。
45	热松饼	早餐的简单选择，将准备好的面糊煎熟，浇上蜂蜜就可以吃了。
46	司康饼	英式下午茶的常客，外酥内软。一般蘸着果酱或者奶油一起吃。
47	香煎三文鱼	将整块带皮的三文鱼煎至外焦里嫩，配上鲜嫩的竹笋——不过外界这个菜谱一般是芦笋，这也算是幻想乡式的融合菜吧。
48	奶油炖菜	家常奶油浓汤，制作方法简单，无论是蘸面包还是当作炖菜来吃都是非常不错的料理。
49	蜜汁叉烧	来自红美铃老家的特殊做法，制作工序有点繁复，但是口感独一无二，令人难忘。
50	白果萝卜排骨汤	来自红美铃老家的煲汤技巧，色香味俱全，益气补血。
51	竹取姬	“所谓的竹取姬，本质和这玩意儿也没什么两样！”\n<align="right">——藤原妹红\n<align="left"><brief>在永远亭就地取材，使用新鲜的食材和米饭一起塞进竹筒中蒸熟。饭被竹子的清香充分浸润后，中和了山猪肉带来的油腻。</brief>
52	不死鸟	“哈~火鸡的肚子里也就是这些东西了~”\n<align="right">——蓬莱山辉夜\n<align="left"><brief>使用面粉烘培出烤火鸡的形状，在表面刷上蜂蜜，肚子里塞满食材，进行充分的烘烤。出炉的假烤鸡有着香脆的外皮和多汁的内馅。</brief>
53	月光团子	永远亭特产改良的麻薯团子，加入了高级食材月光草，造型可爱的同时，还有“月光一样的口感”。
54	麻薯	最普通的糯米团子，大家都喜欢的和风甜食。
55	白桃生八桥	状似外界古筝的经典和果子，加入白桃内馅之后呈现淡粉色，非常诱人。
56	月之恋人	外界似乎很流行使用〇〇恋人作为地区伴手礼，永远亭也不甘落后潮流，推出了自己的版本！
57	猪鹿蝶	脱胎于花札的猪鹿蝶牌型，将猪肉和鹿肉清炖，佐以花朵引出食材本身鲜味的精致料理。
58	流水素面	比起好吃，流水素面更多的是好玩。
59	竹笋炒肉	最朴素的的竹笋吃法，由猪肉的油光引出竹笋的鲜美。
60	竹筒蒸蛋	竹子作为容器蒸出来的茶碗蒸，别有一番风味。
61	蓬莱玉枝	简单地说就是使用竹签串起各种高级肉类，一口吃个饱的料理。但是在辉夜小姐的胁迫下，成为了高级的冠名料理。
62	臭豆腐	少见的黑色豆腐，散发着令人难以接近的味道……让人不禁怀疑：这真的可以吃吗？但是实际吃过的人表示根本停不下来。
63	华光玉煎包	散发着七彩的气场的高级生煎包。据说有些生煎原教旨主义者尖锐地反对加入猪肉以外食材的做法。
64	麻婆豆腐	在日本很有名的中华料理。使用独特的豆腐烹饪技巧烹制而成的辛辣料理，用它来拌饭吃可是会上瘾的哦~
65	水煮鱼	正宗的四川中华料理。鲜嫩肥美的鱼肉与犹如半天朱霞的辣椒一起翻滚，煮成了一道鱼香四溢、椒味袭人的绝味。
66	月饼	原本是内测人员的特殊食谱，三年来一直令全收集强迫症玩家坐卧不宁，这次彻底开放了……
67	毛玉三色冰激凌	方形的三色毛玉冰激凌，从颜色到口味上都非常惹人喜爱。几乎是人手一份的招牌甜品。
68	毛玉熔岩豆腐	方形的火山毛玉造型，仿佛着了火的熔岩豆腐。受到喜欢舌苔刺激的人的追捧。
69	猩红恶魔蛋糕	以猩红恶魔头上的帽子为原型制作的梦幻甜食，切开会有仿佛血液一般的甜美酱料流出。
70	无意识妖怪慕斯	以无意识妖怪的帽子为原型制作的深沉甜食，即使切开感受到的也是无尽的黑暗，但香醇的程度令人流连忘返。
71	水饺	海的另一边，红美铃小姐家乡的著名食谱，用面粉制作成的筋道面皮，在其中包入任意喜欢的食材，放入沸腾的热水中煮熟，就会成为超级美味的食物。外表看起来朴素无华，内在却包着世间的宝藏。
72	汤圆	海的另一边，红美铃小姐家乡的著名食谱，用弹牙的糯米揉成小团，在其中包入甜品食材，放入沸腾的热水中煮熟，就会成为超级可口的甜品。外表看起来朴素无华，内在却包着世间的甜蜜。
