PhraseName	Name
COOKER_MORE_COOKTIME	额外消耗<color=#760000>$a%</color>的料理时间
COOKER_LESS_COOKTIME	减少<color=#760000>$a%</color>的料理时间
COOKER_MORE_ORDER	增加客人<color=#760000>$a%</color>的续单概率
COOKER_LESS_ORDER	降低客人<color=#760000>$a%</color>的续单概率
IZAKAYA_CONFIG_WARNING_TITLE	开店还需要：
IZAKAYA_CONFIG_REQUIRE_RECIPE	供应至少一个料理
IZAKAYA_CONFIG_REQUIRE_BEVERAGE	供应至少一个饮料
IZAKAYA_CONFIG_REQUIRE_COOKER	准备至少一个厨具
FILLTER_TAG_ALL	全部
SPELL_DECLARE_TEXT	「$a」的符卡“$b”发动了！
DAILY_RECIPE_SOLD_OUT	售罄
COLLAB_TBC2	东方华彩乱战2
COLLAB_3FARIES	三妖精的蹦蹦跳跳讨伐大作战
INPUTHELPER_CONTINUE	继续
INPUTHELPER_SKIP_HOLD	快进（按住）
INPUTHELPER_HIDE_DIALOG	隐藏对话
INPUTHELPER_HIDE_HELPER	隐藏提示
INPUTHELPER_CLOSE	关闭
INPUTHELPER_BACK	返回
INPUTHELPER_SELECT	选择
INPUTHELPER_CONFIRM	确认
INPUTHELPER_VIEW	查看
INPUTHELPER_EXIT	退出
INPUTHELPER_SWITCH	切换
INPUTHELPER_STORAGE_CONFIRM	提取/存放
INPUTHELPER_PAGE_LAST	上一页
INPUTHELPER_PAGE_NEXT	下一页
INPUTHELPER_QTE	演奏
INPUTHELPER_BIN_DISCARD	丢弃（按住）
INPUTHELPER_BIN_STORE	存储
INPUTHELPER_MOVE	移动
INPUTHELPER_GIVEUP	放弃保存
INPUTHELPER_MAP_SELECT	选择地点
INPUTHELPER_MAP_MOVE	确认移动
INPUTHELPER_COOKINGMODULE_MOVE	选择食材
INPUTHELPER_COOKINGMODULE_SELECT	放入/取出食材/开始料理
INPUTHELPER_CHECKGIFT	选择
INPUTHELPER_PRESSCONFIRM	选择（按住）
MAP_TELEPORT	确认前往 ($a)
COMMON_CLOSET	衣橱
COMMON_SHOWCASE	展示柜
CLOSET_USEATNIGHT	晚上继续使用
DAILY_DISPLAYER_SOLDOUT	售罄
SAVEFILE_TECHPREVIEW	技术预览
CONFIG_EXIT_GAME	退出游戏
CONFIG_EXIT_GAME_SUBMENU	退出游戏？
CONFIG_RETURN_MAIN_MENU	返回主菜单
CONFIG_CLOSE_GAME	关闭游戏
CONFIG_RESOLUTION_DEFAULT	原生
IZAKYA_SELECTOR_LOCKED	今天晚上这里似乎会发生什么，就去这里开店吧
IZAKYA_SELECTOR_START	前往开店
IZAKYA_SELECTOR_CONFIG_PARTNER	选择伙伴
IZAKYA_SELECTOR_CONFIG_PARTNER_TITLE	伙伴选择
IZKAYA_SCARLETMANSION	红魔馆
IZKAYA_HUMANVILLAGE	人间之里
IZKAYA_BEASTFOREST	妖怪兽道
IZKAYA_BAMBOOFOREST	迷途竹林
IZKAYA_HAKUREISHRINE	博丽神社
IZKAYA_HAKUGYOKUROU	白玉楼
COMMON_IZAKAYA_WORKBENCH	工作桌
COMMON_IZAKAYA_GUESTTABLE	客人桌
DESCRIBER_INSHELF	库存
TEWI_BUY	确认购买
TEWI_NOTBUY	拒绝购买
SHOP_SUBTOTALFUND	总价
SHOP_REMAINFUND	余额
SHOP_CART	购物车
SHOP_SELECTALL	单项清空
SHOP_KOURINDO	香霖堂
SHOP_KOURINDO_EXTRACONSUME	额外消耗：
SHOP_KOURINDO_COMMON	商品
SHOP_KOURINDO_COOKER	厨具
SHOP_KOURINDO_OTHER	杂货
COMMON_RESOURCE	资源
TUTORIAL_WORK_BASE_KEYBOARD_1_1	使用 WASD 移动到正确的厨具附近\n味噌汤的话应该是…煮锅！
TUTORIAL_WORK_BASE_HANDLE_1_1	使用 左摇杆 移动到正确的厨具附近\n味噌汤的话应该是…煮锅！
TUTORIAL_WORK_BASE_1_2	在厨具高亮时按互动键打开制作面板
TUTORIAL_WORK_BASE_2_1	今日菜单中的食谱会被显示在\n对应厨具的食谱栏
TUTORIAL_WORK_BASE_2_2	按选择键将高亮的食谱放入食材栏
TUTORIAL_WORK_BASE_3_1	所选食材在这个厨具里\n可以制作的料理\n会出现在成品栏中
TUTORIAL_WORK_BASE_3_2	按选择键开始制作料理
TUTORIAL_WORK_BASE_4_1	料理需要花一些时间来完成，耐心等待食物做完
TUTORIAL_WORK_BASE_5_1	从厨具中拿出完成的料理并存储到托盘
TUTORIAL_WORK_BASE_6_1	客人点的饮料也不要忘记，从酒水架里拿吧
TUTORIAL_WORK_BASE_7_1	单击提取键从酒水架中拿出对应的饮料并放入托盘\n目前托盘可以存放两个食物或饮料
TUTORIAL_WORK_BASE_8_1	单击退出键来返回
TUTORIAL_WORK_BASE_9_1	现在去客人的桌上上菜吧！
TUTORIAL_WORK_BASE_10_1	之前拿到的食物在托盘上，\n点击托盘中的料理酒水给客人上菜吧！
TUTORIAL_WORK_BASE_11_1	通常，上完菜以后客人会作出评价！\n但是这位客人似乎有点奇怪……\n使用返回键来返回
TUTORIAL_ORDER_1	客人提交的订单， 会显示在这里\n按照订单的要求上菜， 就会获得相应的好评； 不然可能会让客人生气
TUTORIAL_WORK_ADVANCED_1_1	稀客不会直接指定具体的料理和饮料\n而是根据她们自己的喜好，提出“需求”\n移动到桌旁打开点单面板以查看细节
TUTORIAL_WORK_ADVANCED_2_1	查看并且判断客人需要\n包含哪种“特性”的料理以及饮料！
TUTORIAL_WORK_ADVANCED_3_1	嗯……看起来是想要\n甜的料理 吗\n打开厨具
TUTORIAL_WORK_ADVANCED_4_1	在 <size=17><sprite="Foods" index=12></size><color=#FFA857>冷豆腐</color> 的基础上\n额外选择食材栏里的 <size=17><sprite="Ingredients" index=24></size><color=#FFA857>蜂蜜</color>\n来给料理增加额外的属性！
TUTORIAL_WORK_ADVANCED_4_2	部分料理和某些特定的食材不太能处得来\n这点可以在属性面板中确认
TUTORIAL_WORK_ADVANCED_5_1	等待料理完成……
TUTORIAL_WORK_ADVANCED_6_1	从厨具中取出完成的料理
TUTORIAL_WORK_ADVANCED_7_1	打开酒水架
TUTORIAL_WORK_ADVANCED_8_1	选择包含「低酒精度」的饮料
TUTORIAL_WORK_ADVANCED_9_1	离开酒水架
TUTORIAL_WORK_ADVANCED_10_1	将完成的订单送给客人吧！
TUTORIAL_WORK_ADVANCED_11_1	交付完成的料理和饮料
TUTORIAL_QTE_TITLE	夜雀之歌
TUTORIAL_QTE_DESCRIPTION_1	米斯琪热爱歌唱，尤其是在烹饪的时候；\n在唱得好的时候会获得特殊的力量！\n但如果唱得不好……料理水准也会变差！
TUTORIAL_QTE_OR	或
TUTORIAL_QTE_DESCRIPTION_2	每次 “全部命中” 的 夜雀之歌，都有一定概率可以发动以下的三种技能中之一
TUTORIAL_QTE_DESCRIPTION_3	让客人能光速吃完料理的“饕餮盛宴”
TUTORIAL_QTE_DESCRIPTION_4	可以在生效时让客人拥有无限耐心的 “耐心冻结”
TUTORIAL_QTE_DESCRIPTION_5	让米斯琪有无限上菜距离的 “投掷上菜”
TUTORIAL_QTE_DESCRIPTION_6	当米斯琪集齐了全部三个的技能后，将会升级成包含全部三个Buff效果的 “热火朝天”，\n在此Buff期间，料理不再会进行 夜雀之歌
TUTORIAL_QTE_DESCRIPTION_7	Buff 可以在这里查看！
TUTORIAL_QTE_DESCRIPTION_8	请随着音乐的律动\n让夜雀之歌\n回荡于幻想乡的夜空吧！
TUTORILA_GENERAL_DAY	1月2日 星期二
IZKAYA_SELECTOR_NORMAL_GUESTS	常客
IZKAYA_SELECTOR_SPECIAL_GUESTS	稀客
IZKAYA_CONFIG_FOOD_REQ	供应至少一个料理
IZKAYA_CONFIG_BEVERAGE_REQ	供应至少一个饮料
IZKAYA_CONFIG_COOKER_REQ	准备至少一个厨具
IZKAYA_CONFIG_RECIPE_COOKER	需求：
INPUTHELPER_LAST	上一项
INPUTHELPER_NEXT	下一项
COMMON_YES	是
COMMON_NO	否
COLLAB_NEKOTOUFU_MANGA_0	此次能和您联动，真的非常感谢！
COLLAB_NEKOTOUFU_MANGA_1	您好\n多有叨扰拉
COLLAB_NEKOTOUFU_MANGA_2	你是\n另一个世界的我…？
COLLAB_NEKOTOUFU_MANGA_3	其实我在那边也经营着一家食堂…
COLLAB_NEKOTOUFU_MANGA_4	是吗\n真想去看看啊！
COLLAB_NEKOTOUFU_MANGA_5	那么就请您看看这个吧！
COLLAB_NEKOTOUFU_MANGA_6	同人志\n「深夜雀食堂」\n系列发售中！
COLLAB_NEKOTOUFU_MANGA_7	宣传\n！！
RESULT_CONSUME_BUSINESS	经营消耗
RESULT_CONSUME_MISSION	任务消耗
RESULT_CONSUME_EXPIRED	过期料理
RESULT_TITLE	统计
RESULT_COUNT_EXP	获得经验
RESULT_COUNT_MAX_COMBO	最大连击
RESULT_COUNT_MAX_PASSION	最大气氛
RESULT_COUNT_GUEST_TOTAL	来访客人
RESULT_COUNT_GUEST_NORMAL	接待普通客人
RESULT_COUNT_GUEST_SPECIAL	接待特殊客人
RESULT_COUNT_NEGATIVESPELL	触发惩罚
RESULT_COUNT_POSITIVESPELL	触发奖励
RESULT_TITLE_EXPENCES	支出
RESULT_EXPENCES_SHOP	采购
RESULT_EXPENCES_MISSION	任务
RESULT_EXPENCES_DEBT	还款
RESULT_EXPENCES_PARTNER	佣金
RESULT_TITLE_INCOME	收入
RESULT_INCOME_MISSION	任务
RESULT_INCOME_BUSINESS	经营
RESULT_INCOME_FEE	 小费
RESULT_INCOME_NETPROFIT	净利润
RESULT_TITLE_PERFORM	演奏
RESULT_PERFORM_COUNT	次数
RESULT_PERFORM_SUCCEED_COUNT	成功
RESULT_PERFORM_FC_COUNT	全连击
MAIN_CONTINUE	继续
MAIN_NEWGAME	新的开始
MAIN_STAFF	制作人员
MAIN_END	结束
WORK_DISPERSE	送客
WORK_DAILYMENU	今日菜单
INPUTHELPER_INTERACT	互动
DAY_SPRINT	小跑
STAFF_PRODUCTION_TITLE	制作/出品：
STAFF_PROGRAM_MAIN_TITLE	主程序：
STAFF_PROGRAM_TITLE	程序：
STAFF_ART_MAIN_TITLE	主美术：
STAFF_ART_PIXEL_TITLE	像素美术协力：
STAFF_ART_RESOURCE_TITLE	资源美术：
STAFF_ART_FX_TITLE	特效剪辑：
STAFF_ILLUST_TITLE	立绘/CG绘师：
STAFF_GAMEDESIGN_TITLE	游戏策划：
STAFF_SCRIPT_TITLE	剧情策划：
STAFF_MUSIC_TITLE	音乐：
STAFF_ALBUM_TITLE	《再次来到紫樱树下》&《四季轮转》
STAFF_ALBUM_PRODUCTION_TITLE	制作：
STAFF_ALBUM_SOURCE_TITLE	原曲：
STAFF_ALBUM_ARRANGE_TITLE	编曲：
STAFF_ALBUM_LYRICS_TITLE	词：
STAFF_ALBUM_VOCAL_TITLE	演唱：
STAFF_ALBUM_MIXING_MASTERING_TITLE	混音/母带：
STAFF_GAMETESTER_TITLE	测试人员感谢：
STAFF_COLLAB_TITLE	联动感谢：
STAFF_SPECIALTHANKS_TITLE	特别感谢：
STAFF_SPECIALTHANKS_NEKOTOUFU	猫豆腐老师
STAFF_TEAMSHANGHAIALICE_TITLE	原作：
STAFF_TEAMSHANGHAIALICE_NAME	上海爱丽丝幻乐团
STAFF_SPECIALTHANKS_PLAYER	玩到这里的你
SPELL_AKYUU_CRIME_NAME	你这家伙——
CALIBRATION_TITLE	节奏校准
CALIBRATION_DELAY	延后$a毫秒
CALIBRATION_AHEAD	提前$a毫秒
CALIBRATION_TEST	测试延迟
BINDING_TITLE	键位绑定
BINDING_RESET	重置键位
BINDING_GAMEPAD_FUNCTION	手柄功能键
BINDING_KEYBOARD_FUNCTION	键盘功能键
BINDING_UI_SUBMIT	面板\n - 确认
BINDING_UI_CANCEL	面板\n - 取消
BINDING_UI_UP	面板\n - 向上移动
BINDING_UI_DOWN	面板\n - 向下移动
BINDING_UI_LEFT	面板\n - 向左移动
BINDING_UI_RIGHT	面板\n - 向右移动
BINDING_UI_PRIMARYSWITCH_NEGATIVE	面板\n - 上一项
BINDING_UI_PRIMARYSWITCH_POSITIVE	面板\n - 下一项
BINDING_UI_SECONDARYSWITCH_NEGATIVE	面板\n - 上一项(次要)
BINDING_UI_SECONDARYSWITCH_POSITIVE	面板\n - 下一项(次要)
BINDING_UI_TERTIARYSWITCH	面板\n - 切换
BINDING_PLAYER_INTERACT	白天/工作\n - 互动
BINDING_DAY_SPRINT	白天 - 小跑\n工作 - 投掷
BINDING_MOVE_UP	白天/工作\n - 向上移动
BINDING_MOVE_DOWN	白天/工作\n - 向下移动
BINDING_MOVE_LEFT	白天/工作\n - 向左移动
BINDING_MOVE_RIGHT	白天/工作\n - 向右移动
BINDING_NOTEBOOK	白天/工作\n - 开启笔记本
BINDING_STORAGE	白天/工作\n - 开启仓库
BINDING_FASTFORWARD	白天/工作\n - 跳过
BINDING_ESC	白天/工作\n - 开启暂停菜单
BINDING_DAY_SELECTALL	白天:商店\n - 选择全部
BINDING_DAY_GUIDEMAP	白天\n - 地图
BINDING_WORK_DAILY	工作\n - 今日菜单
BINDING_WORK_SWITCHORDER_PREV	工作\n - 上个点单
BINDING_WORK_SWITCHORDER_NEXT	工作\n - 下个点单
BINDING_WORK_SWITCHBUFF_PREV	工作\n - 上个效果
BINDING_WORK_SWITCHBUFF_NEXT	工作\n - 下个效果
BINDING_WORK_KICK	工作\n - 送客
BINDING_WORK_THROWDELIVERMENU	工作\n - 投掷上菜菜单
BINDING_CONFIRM	<size=20>(使用ESC取消)\n按下新的快捷键：<color=#7B1B00></size>\n$a
KIZUNA_ABOUTCONCERT	关于演唱会…
KIZUNA_SPECIAL_NITORI_REPEATCHALLENGE_FIRST	前往“那个人”所在的地方
KIZUNA_SPECIAL_NITORI_REPEATCHALLENGE	再次拜访“那个人”
KIZUNA_SPECIAL_ORIN_REPEATCHALLENGE	再次参加「怪诞料理大赛」
KIZUNA_SPECIAL_YUGI_ABOUT_SPRING	泡温泉
DONATE_25500_YEN	捐25500円
PARTNERSTATUS_SLEEPING	摸鱼中…
DLC1_YUUMA_TARGET	满足饕餮之胃！
GENERAL_CLASSIFIER	份
DLC1_TOUTETSU_TAG_CHANGE	饕餮尤魔的欲求Tag变更为「$a」与「$b」
DLC1_YUUMA_ANGER	狂暴能量
DLC1_YUUMA_TAG	需求Tag：
PARTNER_SPEED_NONE	无
DLC1_PARTNER_INFO_HINA	<brief>瞬间完成料理，但$a%制作出黑暗物质</brief>
DLC1_PARTNER_INFO_YUMEKO	<brief>使用飞刀投掷上菜</brief>
COLLAB_MC	MC幻想乡
INPUTHELPER_SETTOPHIGHLIGHT	置顶/取消置顶
CLOSET_USEIZAKAYASKIN	启用食堂皮肤
CLOSET_CONFIRM	确认更换
IZKAYA_MAGICFOREST	魔法森林
IZKAYA_YOUKAIMOUNTAIN	妖怪之山
IZKAYA_FORMERHELL	旧地狱
IZKAYA_EARTHSPIRITSPALACE	地灵殿
TUTORIAL_FRESHMAN_MISSION_TITLE	还款 ~ 兽道篇
TUTORIAL_FRESHMAN_MISSION_PRINCIPAL	受<font="江西拙楷2.0"><color=#631300> <u>橙 </u></color><font="default">的委托
TUTORIAL_FRESHMAN_MISSION_DESC	向我们借一笔钱，用来还朋友的债嘛……我佩服你的义气。不过这个数字，你在期限以内究竟能不能凑齐呢？我会在那一天结束的时候来找你的。加油吧，鸟脑袋！
TUTORIAL_FRESHMAN_MISSION_TIME	于<font="江西拙楷2.0"><color=#631300> <u>13天</u> </color><font="default">内达成目标
TUTORIAL_FRESHMAN_MISSION_CONDITION	在还款日结束之时还清3000¥的债务
WORK_INCOME	今日收入
STAFF_MUSIC_EFFECT_TITLE	音效：
STAFF_ENTRANSLATOR_TITLE	英文翻译协力(排名不分先后)：
STAFF_JPTRANSLATOR_TITLE	日语翻译协力(排名不分先后)：
KYOUKOU_TUTORIAL_EVENT_MARK	<size=38><sprite="NPCGuide_Icons" index=5></size> 
KYOUKOU_TUTORIAL_1	我应该做什么？
KYOUKOU_TUTORIAL_2	新手需知…
KYOUKOU_TUTORIAL_3	老板娘等级是…？
KYOUKOU_TUTORIAL_4	如何满足稀客…
KYOUKOU_TUTORIAL_5	夜雀之歌是…
KYOUKOU_TUTORIAL_6	关于飞行…
KYOUKOU_TUTORIAL_7	如何存档…
KYOUKOU_TUTORIAL_8	注意事项…
DLC1_TELEPHONE_FIRNED	联系好友
DLC1_TELEPHONE_MERCHANT	联系商人
DLC1_TELEPHONE_CLOSE	挂断
DLC1_TELEPHONE_RETURN	返回上级
MUSIC_PLAYER_TITLE	开店时播放
MUSIC_PLAYER_PLAY	播放
MUSIC_PLAYER_TITLE_SET	开店时播放\n<size=22>整个专辑
MUSIC_PLAYER_TITLE_CURRENT	开店时播放\n<size=22>当前曲目
DLC2_PARTNER_INFO_KOMACHI	<brief>八重雾中渡</brief>：工作的时候会摸鱼，但客人试图落座时会被立即拉到桌子旁
DLC2_PARTNER_INFO_KISUME	<brief>钓瓶落之怪</brief>：驱赶普通客人时不会造成不良影响，但收不到钱
ORDER_DESK_CODE	<size=18>$a</size>号
YUKARI_TELEPORT_BUTTON	八云传送 ($a¥)
STORE_LOCKDOWN_TIPS	由于特殊事件，今晚只能在「$a」开店，请提前准备。
CHALLENEG_SCORE	得分：
CHALLENEG_GOAL	目标：
DLC2_BOSS_KOISHI_HIDE_ORDER	订单
DLC2_BOSS_KOISHI_PHASE2_TAG	怪诞料理Tag：
DLC2_BOSS_KOISHI_PHASE1_TARGET	怪诞料理大赛 · 一回胜负！
DLC2_BOSS_KOISHI_PHASE2_TARGET	怪诞料理大赛 · 二回胜负！
DLC2_BOSS_KOISHI_PHASE3_TARGET	怪诞料理大赛 · 最终胜负！
DLC2_KOISHI_TAG_CHANGE	“无意识的调味Tag”变更为「$a」
SPRING_YUGI_REFUSE_SPRING	下次再来
